FUND CODE,FUND NAME,SUBFUND CCY,NAV DATE,ACC NUMBER,INTERNAL NUMBER,ISIN CODE,INSTRUMENT NAME,CURRENCY,QUANTITY,MARKET VALUE IN FD CCY,MARKET VALUE IN SEC CCY,TNA,% NAV,%PORTFOLIO,ID BLOOMBERG,NEXT COUPON DATE,VALUATION PRICE,MARKET PRICE,LAST COUPON DATE,ACCRUED INT FD CCY,ACCRUED INT.,NUMBER OF ACCRUED DAYS,INVESTMENT TYPE,GEOGRAPHICAL SECTOR,ECONOMIC SECTOR CODE,ECONOMIC SECTOR LABEL
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,268204  00,,,Marketing Expenses,EUR,0.00,-323.38,-323.38,25276346.17,            -0.00,-0.001279,,99991231,100.000000,-0.001279378,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264874  00,,,Risk Management Fee,EUR,0.00,-125.39,-125.39,25276346.17,            -0.00,-0.000496,,99991231,100.000000,-0.000496076,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264136  00,,,Transfer Agency Fee,EUR,0.00,-281.19,-281.19,25276346.17,            -0.00,-0.001112,,99991231,100.000000,-0.001112463,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,120145  00,,,Amort. Formation expenses,EUR,0.00,-438.10,-438.10,25276346.17,            -0.00,-0.001733,,99991231,100.000000,-0.001733241,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,267100  00,,,Subscription tax,EUR,0.00,-625.06,-625.06,25276346.17,            -0.00,-0.002473,,99991231,100.000000,-0.002472905,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-326.65,-326.65,25276346.17,            -0.00,-0.001292,,99991231,100.000000,-0.001292315,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264293  00,,,Managment Fee I,EUR,0.00,-3820.35,-3820.35,25276346.17,            -0.02,-0.015114,,99991231,100.000000,-0.015114329,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264135  00,,,Transfer Agency Fee,EUR,0.00,-166.42,-166.42,25276346.17,            -0.00,-0.000658,,99991231,100.000000,-0.000658402,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264528  00,,,Financial Statements,EUR,0.00,-2924.05,-2924.05,25276346.17,            -0.01,-0.011568,,99991231,100.000000,-0.011568326,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,268203  00,,,Marketing Expenses,EUR,0.00,-191.03,-191.03,25276346.17,            -0.00,-0.000756,,99991231,100.000000,-0.000755766,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
