===============================================================================
"EXTENSION NAME","linecount"
"EXTENSION VERSION","0.1.7"
-------------------------------------------------------------------------------

"count time","2018-10-30 18:24:03"
"count workspace","c:\Users\sroyer\Source\Repos\Etl.Net"
"total files","296"
"total code lines","14301"
"total comment lines","499"
"total blank lines","1273"


"filename","code","comment","blank"
"src\Paillave.EtlTests\Reactive\Operators\FilterSubjectTests.cs","86","0","20"
"src\Paillave.EtlTests\Reactive\Operators\FirstSubjectTests.cs","42","0","9"
"src\Paillave.EtlTests\Reactive\Operators\FlatMapSubjectTests.cs","105","2","34"
"src\Paillave.EtlTests\Reactive\Operators\GroupSubjectTests.cs","96","5","6"
"src\Paillave.EtlTests\Reactive\Operators\LastSubjectTests.cs","44","0","10"
"src\Paillave.EtlTests\Reactive\Operators\LeftJoinSubjectTests.cs","139","1","45"
"src\Paillave.EtlTests\Reactive\Operators\MapSubjectTests.cs","86","0","16"
"src\Paillave.EtlTests\Reactive\Operators\MergeSubjectTests.cs","46","0","12"
"src\Paillave.EtlTests\Reactive\Operators\MultiMapSubjectTests.cs","37","0","7"
"src\Paillave.EtlTests\Reactive\Operators\OfTypeSubjectTests.cs","34","55","20"
"src\Paillave.EtlTests\Reactive\Operators\PushSubjectTests.cs","114","0","9"
"src\Paillave.EtlTests\Reactive\Operators\RangeSubjectTests.cs","65","0","14"
"src\Paillave.EtlTests\Reactive\Operators\ScanSubjectTests.cs","41","0","6"
"src\Paillave.EtlTests\Reactive\Operators\SkipSubjectTests.cs","39","0","7"
"src\Paillave.EtlTests\Reactive\Operators\SkipUntilConditionSubjectTests.cs","83","0","25"
"src\Paillave.EtlTests\Reactive\Operators\SkipUntilSubjectTests.cs","95","0","28"
"src\Paillave.EtlTests\Reactive\Operators\SwitchMapSubjectTests.cs","83","0","27"
"src\Paillave.EtlTests\Reactive\Operators\TakeSubjectTests.cs","49","0","8"
"src\Paillave.EtlTests\Reactive\Operators\TakeUntilConditionSubjectTests.cs","62","0","17"
"src\Paillave.EtlTests\Reactive\Operators\TakeUntilSubjectTests.cs","37","0","9"
"src\Paillave.EtlTests\Reactive\Operators\ToListSubjectTests.cs","50","0","10"
"src\Paillave.EtlTests\Reactive\Operators\ToTaskAsyncTests.cs","51","0","4"
"src\Paillave.EtlTests\Reactive\Operators\ToTaskTests.cs","98","6","6"
"src\Samples\ComplexQuickstart\Jobs\ComplexQuickstartJob.cs","34","0","6"
"src\Samples\ComplexQuickstart\Program.cs","36","1","2"
"src\Samples\ComplexQuickstart\StreamTypes\InputFileRow.cs","40","0","5"
"src\Samples\ComplexQuickstart\StreamTypes\MyConfig.cs","15","0","1"
"src\Samples\ComplexQuickstart\StreamTypes\OutputCategoryRow.cs","20","0","2"
"src\Samples\ComplexQuickstart\StreamTypes\OutputFileRow.cs","21","0","2"
"src\Samples\ComplexQuickstart\StreamTypes\TypeFileRow.cs","33","0","5"
"src\Samples\ExamplesQuickStart\Jobs\ComputeAverageJob.cs","21","0","1"
"src\Samples\ExamplesQuickStart\Jobs\CrossApplyActionJobs.cs","21","0","1"
"src\Samples\ExamplesQuickStart\Jobs\CrossApplyActionJobs2.cs","40","0","1"
"src\Samples\ExamplesQuickStart\Program.cs","11","0","1"
"src\Samples\ExcelQuickstart\Program.cs","61","2","2"
"src\Samples\FtpQuickstart\Program.cs","40","0","1"
"src\Samples\SimpleQuickstart\Program.cs","24","1","2"
"src\Samples\SimpleQuickstart\SimpleConfig.cs","15","0","1"
"src\Samples\SimpleQuickstart\SimpleQuickstartJob.cs","58","0","1"
"src\Samples\SubProcessQuickStart\Jobs\SubProcessQuickstartJob.cs","42","0","6"
"src\Samples\SubProcessQuickStart\Program.cs","36","1","2"
"src\Samples\SubProcessQuickStart\StreamTypes\InputFileRow.cs","40","0","5"
"src\Samples\SubProcessQuickStart\StreamTypes\MyConfig.cs","15","0","1"
"src\Samples\SubProcessQuickStart\StreamTypes\OutputCategoryRow.cs","20","0","2"
"src\Samples\SubProcessQuickStart\StreamTypes\OutputFileRow.cs","21","0","2"
"src\Samples\SubProcessQuickStart\StreamTypes\TypeFileRow.cs","33","0","5"
===============================================================================


